login,type,contributions,id,html_url
BoyuanFeng,User,15,23176869.0,https://github.com/BoyuanFeng
b8zhong,User,15,184021590.0,https://github.com/b8zhong
Zerohertz,User,15,42334717.0,https://github.com/Zerohertz
shen-shanshan,User,15,87969357.0,https://github.com/shen-shanshan
vadiklyutiy,User,15,156319763.0,https://github.com/vadiklyutiy
yihong0618,User,15,15976103.0,https://github.com/yihong0618
gcalmettes,User,14,1042512.0,https://github.com/gcalmettes
charlifu,User,14,4076731.0,https://github.com/charlifu
rafvasq,User,14,11052762.0,https://github.com/rafvasq
ronensc,User,14,37826670.0,https://github.com/ronensc
eicherseiji,User,14,58963096.0,https://github.com/eicherseiji
zRzRzRzRzRzRzR,User,14,93239683.0,https://github.com/zRzRzRzRzRzRzR
ilmarkov,User,14,8823584.0,https://github.com/ilmarkov
david6666666,User,14,40507679.0,https://github.com/david6666666
WangErXiao,User,13,5558161.0,https://github.com/WangErXiao
maleksan85,User,13,164964928.0,https://github.com/maleksan85
qthequartermasterman,User,13,19497738.0,https://github.com/qthequartermasterman
qandrew,User,13,1750621.0,https://github.com/qandrew
mzusman,User,13,7231514.0,https://github.com/mzusman
Abatom,User,12,182586866.0,https://github.com/Abatom
DamonFool,User,12,19923746.0,https://github.com/DamonFool
wenscarl,User,12,25590028.0,https://github.com/wenscarl
wallashss,User,12,1860737.0,https://github.com/wallashss
sangstar,User,12,51196172.0,https://github.com/sangstar
rahul-tuli,User,11,25380596.0,https://github.com/rahul-tuli
skyloevil,User,11,8326858.0,https://github.com/skyloevil
calvin0327,User,11,45745657.0,https://github.com/calvin0327
AllenDou,User,11,1897797.0,https://github.com/AllenDou
Josephasafg,User,11,39553475.0,https://github.com/Josephasafg
princepride,User,11,29850264.0,https://github.com/princepride
Jeffwan,User,11,4739316.0,https://github.com/Jeffwan
yankay,User,11,1469319.0,https://github.com/yankay
noamgat,User,11,1331304.0,https://github.com/noamgat
orozery,User,11,17771355.0,https://github.com/orozery
panpan0000,User,11,14049268.0,https://github.com/panpan0000
Roger Wang,Anonymous,11,,
hl475,User,11,8340746.0,https://github.com/hl475
zyongye,User,11,42426329.0,https://github.com/zyongye
SzymonOzog,User,10,58388001.0,https://github.com/SzymonOzog
kouroshHakha,User,10,31483498.0,https://github.com/kouroshHakha
petersalas,User,10,3458629.0,https://github.com/petersalas
kzawora-intel,User,10,75985309.0,https://github.com/kzawora-intel
cyang49,User,10,7364402.0,https://github.com/cyang49
JenZhao,User,10,7443418.0,https://github.com/JenZhao
JartX,User,10,8399211.0,https://github.com/JartX
imkero,User,9,32296555.0,https://github.com/imkero
CSWYF3634076,User,9,58356743.0,https://github.com/CSWYF3634076
alexeykondrat,User,9,143633163.0,https://github.com/alexeykondrat
WrRan,User,9,7569098.0,https://github.com/WrRan
CRZbulabula,User,9,33111881.0,https://github.com/CRZbulabula
richardsliu,User,9,39319471.0,https://github.com/richardsliu
beginlner,User,9,31004720.0,https://github.com/beginlner
pooyadavoodi,User,9,7076961.0,https://github.com/pooyadavoodi
nvpohanh,User,9,53919306.0,https://github.com/nvpohanh
sfeng33,User,9,200688931.0,https://github.com/sfeng33
npanpaliya,User,8,14196089.0,https://github.com/npanpaliya
rickyyx,User,8,11676094.0,https://github.com/rickyyx
Akashcodes732,User,8,61960177.0,https://github.com/Akashcodes732
andylolu2,User,8,66584117.0,https://github.com/andylolu2
zixi-qi,User,8,22851944.0,https://github.com/zixi-qi
leiwen83,User,8,18640128.0,https://github.com/leiwen83
googs1025,User,8,86391540.0,https://github.com/googs1025
ilya-lavrenov,User,8,2566854.0,https://github.com/ilya-lavrenov
jerryzh168,User,8,4958441.0,https://github.com/jerryzh168
kaixih,User,8,4001424.0,https://github.com/kaixih
Potabk,User,8,166481948.0,https://github.com/Potabk
louie-tsai,User,8,21761437.0,https://github.com/louie-tsai
schoennenbeck,User,8,22288048.0,https://github.com/schoennenbeck
HermitSun,User,8,35923278.0,https://github.com/HermitSun
bwasti,User,8,4842908.0,https://github.com/bwasti
Xu-Wenqing,User,8,121550081.0,https://github.com/Xu-Wenqing
zhouyuan,User,8,43917.0,https://github.com/zhouyuan
dongbo910220,User,8,32610838.0,https://github.com/dongbo910220
kliuae,User,8,17350011.0,https://github.com/kliuae
zhenwei-intel,User,7,109187816.0,https://github.com/zhenwei-intel
chenxu2048,User,7,15109893.0,https://github.com/chenxu2048
yyzxw,User,7,34639446.0,https://github.com/yyzxw
yarongmu-google,User,7,150371854.0,https://github.com/yarongmu-google
xwjiang2010,User,7,87673679.0,https://github.com/xwjiang2010
whyiug,User,7,6668626.0,https://github.com/whyiug
omrishiv,User,7,327609.0,https://github.com/omrishiv
fxmarty-amd,User,7,180171742.0,https://github.com/fxmarty-amd
angelayi,User,7,10901756.0,https://github.com/angelayi
aurickq,User,7,6137920.0,https://github.com/aurickq
gaocegege,User,7,5100735.0,https://github.com/gaocegege
CatherineSue,User,7,8605658.0,https://github.com/CatherineSue
chaojun-zhang,User,7,1573221.0,https://github.com/chaojun-zhang
juliendenize,User,7,40604584.0,https://github.com/juliendenize
waltforme,User,7,8633434.0,https://github.com/waltforme
aws-satyajith,User,7,175759719.0,https://github.com/aws-satyajith
llsj14,User,7,33976427.0,https://github.com/llsj14
wseaton,User,7,16678729.0,https://github.com/wseaton
xyang16,User,7,105740670.0,https://github.com/xyang16
liuyanyi,User,7,11705038.0,https://github.com/liuyanyi
cascade812,User,7,7135567.0,https://github.com/cascade812
chenqianfzh,User,7,51831990.0,https://github.com/chenqianfzh
fhl2000,User,7,63384265.0,https://github.com/fhl2000
Imss27,User,6,76841985.0,https://github.com/Imss27
cjackal,User,6,44624812.0,https://github.com/cjackal
czhu-cohere,User,6,207597296.0,https://github.com/czhu-cohere
ihb2032,User,6,40718643.0,https://github.com/ihb2032
nvjullin,User,6,194325992.0,https://github.com/nvjullin
shixianc,User,6,49539556.0,https://github.com/shixianc
zhaoyang-star,User,6,24290792.0,https://github.com/zhaoyang-star
HollowMan6,User,6,43995067.0,https://github.com/HollowMan6
elaineyz,User,6,188513531.0,https://github.com/elaineyz
mawong-amd,User,6,156021403.0,https://github.com/mawong-amd
hanzhi713,User,6,21034047.0,https://github.com/hanzhi713
B-201,User,6,116639249.0,https://github.com/B-201
djmmoss,User,6,6038874.0,https://github.com/djmmoss
fadara01,User,6,115173828.0,https://github.com/fadara01
janimo,User,6,50138.0,https://github.com/janimo
youngkent,User,6,1106275.0,https://github.com/youngkent
prashantgupta24,User,6,9909241.0,https://github.com/prashantgupta24
rabi,User,6,46783.0,https://github.com/rabi
gau-nernst,User,6,26946864.0,https://github.com/gau-nernst
yangw-dev,User,6,186225710.0,https://github.com/yangw-dev
ApostaC,User,6,25103655.0,https://github.com/ApostaC
linzebing,User,6,9404831.0,https://github.com/linzebing
ahao-anyscale,User,6,228601960.0,https://github.com/ahao-anyscale
ayushsatyam146,User,5,55888723.0,https://github.com/ayushsatyam146
samanamp,User,5,2099595.0,https://github.com/samanamp
sergiopaniego,User,5,17179696.0,https://github.com/sergiopaniego
2015aroras,User,5,19700980.0,https://github.com/2015aroras
842974287,User,5,20773414.0,https://github.com/842974287
simondanielsson,User,5,70206058.0,https://github.com/simondanielsson
wenhuach21,User,5,108330088.0,https://github.com/wenhuach21
xiangxu-google,User,5,117880274.0,https://github.com/xiangxu-google
fyabc,User,5,12120155.0,https://github.com/fyabc
yannicks1,User,5,43552841.0,https://github.com/yannicks1
Edwardf0t1,User,5,24870971.0,https://github.com/Edwardf0t1
pwschuurman,User,5,2660769.0,https://github.com/pwschuurman
qscqesze,User,5,7346749.0,https://github.com/qscqesze
wuhang2014,User,5,8769248.0,https://github.com/wuhang2014
izhuhaoran,User,5,43847754.0,https://github.com/izhuhaoran
zspo,User,5,26846598.0,https://github.com/zspo
wulipc,User,5,26085463.0,https://github.com/wulipc
gty111,User,5,51089307.0,https://github.com/gty111
HwwwwwwwH,User,5,52458637.0,https://github.com/HwwwwwwwH
alecsolder,User,5,10566873.0,https://github.com/alecsolder
bbrowning,User,5,56071.0,https://github.com/bbrowning
avshalomman,User,5,12231371.0,https://github.com/avshalomman
bbartels,User,5,23058572.0,https://github.com/bbartels
abmfy,User,5,20623941.0,https://github.com/abmfy
bringlein,User,5,9336784.0,https://github.com/bringlein
chenxi-yang,User,5,34398300.0,https://github.com/chenxi-yang
christian-pinto,User,5,55737893.0,https://github.com/christian-pinto
Concurrensee,User,5,78570093.0,https://github.com/Concurrensee
gesanqiu,User,5,37237570.0,https://github.com/gesanqiu
zucchini-nlp,User,5,100715397.0,https://github.com/zucchini-nlp
Sanster,User,5,3998421.0,https://github.com/Sanster
peng1999,User,5,12483662.0,https://github.com/peng1999
mspronesti,User,5,44113430.0,https://github.com/mspronesti
jsato8094,User,5,18683209.0,https://github.com/jsato8094
TheEpicDolphin,User,5,32987265.0,https://github.com/TheEpicDolphin
gmarinho2,User,5,104592062.0,https://github.com/gmarinho2
elvircrn,User,5,5296734.0,https://github.com/elvircrn
elfiegg,User,5,164945471.0,https://github.com/elfiegg
drisspg,User,5,32754868.0,https://github.com/drisspg
dougbtv,User,5,5472189.0,https://github.com/dougbtv
jvlunteren,User,4,161835099.0,https://github.com/jvlunteren
jiahanc,User,4,173873397.0,https://github.com/jiahanc
iAmir97,User,4,71513472.0,https://github.com/iAmir97
gnovack,User,4,50467879.0,https://github.com/gnovack
